region,decile,n_lsoa,commuters,crashes,rate
Greater London,1,107,2836,196,34.56
Greater London,2,688,18813,1270,33.75
Greater London,3,811,24645,1567,31.79
Greater London,4,661,21332,1245,29.18
Greater London,5,559,15739,1036,32.91
Greater London,6,532,13519,826,30.55
Greater London,7,438,9561,596,31.17
Greater London,8,413,8443,474,28.07
Greater London,9,407,7142,413,28.91
Greater London,10,219,3521,234,33.23
Greater Manchester,1,390,5537,166,14.99
Greater Manchester,2,244,3076,95,15.44
Greater Manchester,3,194,2943,84,14.27
Greater Manchester,4,150,2489,71,14.26
Greater Manchester,5,130,1542,51,16.54
Greater Manchester,6,111,1470,42,14.29
Greater Manchester,7,120,1172,51,21.76
Greater Manchester,8,128,1086,52,23.94
Greater Manchester,9,115,903,32,17.72
Greater Manchester,10,91,711,28,19.69
West Midlands,1,444,4212,218,25.88
West Midlands,2,313,3129,138,22.05
West Midlands,3,190,1965,91,23.16
West Midlands,4,153,1554,74,23.81
West Midlands,5,146,1479,56,18.93
West Midlands,6,104,963,30,15.58
West Midlands,7,94,735,22,14.97
West Midlands,8,83,555,18,16.22
West Midlands,9,73,403,16,19.85
West Midlands,10,80,392,18,22.96
